日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025/3/4,3.45,2.37,86572279,12,80331586,11.14,6240693,0.87,-39847535,-5.52,-46724744,-6.48
2025/6/30,3.06,2.34,99963112,15.4,101321697,15.61,-1358585,-0.21,-38645450,-5.95,-61317662,-9.45
2025/4/16,3.08,2.33,57986063,6.42,43461035,4.81,14525028,1.61,-7331088,-0.81,-50654976,-5.61
2025/3/6,3.55,2.31,40154779,3.65,44095469,4.01,-3940690,-0.36,-11902528,-1.08,-28252256,-2.57
2025/1/17,3.34,2.14,148232102,9.9,125761302,8.4,22470800,1.5,-21352768,-1.43,-126879344,-8.47
2025/6/3,2.94,2.08,53430884,10.37,61253060,11.89,-7822176,-1.52,-22484008,-4.36,-30946877,-6
2025/4/14,3.04,2.01,7291580,1.38,4604550,0.87,2687030,0.51,-17560247,-3.33,10268668,1.95
2025/4/3,3.22,1.9,92503020,17.32,82157710,15.38,10345310,1.94,-45203488,-8.46,-47299531,-8.85
2025/4/10,3,1.69,-57592445,-8.83,-40243888,-6.17,-17348557,-2.66,7383555,1.13,50208891,7.7
2025/2/14,3.72,1.64,29435567,1.9,38133887,2.46,-8698320,-0.56,-45968352,-2.97,16532800,1.07
2025/4/21,3.09,1.64,2379331,0.44,10203476,1.9,-7824145,-1.46,656298,0.12,-3035628,-0.56
2025/5/12,3.12,1.63,17580305,3.63,2299697,0.47,15280608,3.15,6082419,1.25,-23662725,-4.88
2025/1/23,3.33,1.52,65975735,5.97,14184890,1.28,51790845,4.69,-11580672,-1.05,-54395056,-4.92
2025/1/20,3.39,1.5,-89342350,-6.22,-19538126,-1.36,-69804224,-4.86,5956544,0.41,83385808,5.81
2025/5/29,2.96,1.37,44074257,10.12,40837618,9.38,3236639,0.74,14011476,3.22,-58085732,-13.34
2025/4/9,2.95,1.37,-16395539,-2.29,-3456486,-0.48,-12939053,-1.81,-30973110,-4.33,47368645,6.62
2025/7/8,3.05,1.33,21225999,6.94,21682704,7.09,-456705,-0.15,-21593311,-7.06,367312,0.12
2025/6/11,2.98,1.02,49288793,11.91,28654055,6.92,20634738,4.99,-28303907,-6.84,-20984886,-5.07
2025/7/1,3.09,0.98,94794089,11.62,32245725,3.95,62548364,7.67,-25925829,-3.18,-68868248,-8.44
2025/5/20,3.09,0.98,20700755,5.94,27339678,7.84,-6638923,-1.9,-2397767,-0.69,-18302988,-5.25
2025/7/10,3.1,0.98,7861233,1.55,8667911,1.71,-806678,-0.16,-8022943,-1.58,161712,0.03
2025/2/7,3.48,0.87,-70339887,-4.51,-13412255,-0.86,-56927632,-3.65,11147504,0.71,59192400,3.79
2025/2/20,3.73,0.81,-49022925,-3.82,-48236957,-3.75,-785968,-0.06,12272480,0.96,36750464,2.86
2025/6/4,2.96,0.68,36219096,6.92,12088663,2.31,24130433,4.61,-6104561,-1.17,-30114535,-5.76
